Embarked,Class,Age,Fare,isFemale,survied
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,1rd Class,48,26.55,male,1
Southampton,3rd Class,34,8.05,male,0
Southampton,1rd Class,47,38.5,male,0
Southampton,2rd Class,48,13,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,3rd Class,38,7.05,male,0
Southampton,2rd Class,29.69911765,0,male,0
Southampton,1rd Class,56,26.55,male,0
Queenstown,3rd Class,29.69911765,7.725,male,0
Cherbourg,3rd Class,0.75,19.2583,female,1
Southampton,3rd Class,29.69911765,7.25,male,0
Southampton,3rd Class,38,8.6625,male,0
Southampton,2rd Class,33,27.75,female,1
Cherbourg,2rd Class,23,13.7917,female,1
Southampton,3rd Class,22,9.8375,female,0
Southampton,1rd Class,29.69911765,52,male,0
Southampton,2rd Class,34,21,male,0
Southampton,3rd Class,29,7.0458,male,0
Southampton,3rd Class,22,7.5208,male,0
Southampton,3rd Class,2,12.2875,female,1
Southampton,3rd Class,9,46.9,male,0
Southampton,2rd Class,29.69911765,0,male,0
Southampton,3rd Class,50,8.05,male,0
Southampton,3rd Class,63,9.5875,female,1
Cherbourg,1rd Class,25,91.0792,male,1
Southampton,3rd Class,29.69911765,25.4667,female,0
Southampton,1rd Class,35,90,female,1
Cherbourg,1rd Class,58,29.7,male,0
Southampton,3rd Class,30,8.05,male,0
Southampton,3rd Class,9,15.9,male,1
Southampton,3rd Class,29.69911765,19.9667,male,0
Southampton,3rd Class,21,7.25,male,0
Southampton,1rd Class,55,30.5,male,0
Cherbourg,1rd Class,71,49.5042,male,0
Southampton,3rd Class,21,8.05,male,0
Cherbourg,3rd Class,29.69911765,14.4583,male,0
Cherbourg,1rd Class,54,78.2667,female,1
Southampton,3rd Class,29.69911765,15.1,male,0
Southampton,1rd Class,25,151.55,female,0
Southampton,3rd Class,24,7.7958,male,0
Southampton,3rd Class,17,8.6625,male,0
Queenstown,3rd Class,21,7.75,female,0
Queenstown,3rd Class,29.69911765,7.6292,female,0
Southampton,3rd Class,37,9.5875,female,0
Southampton,1rd Class,16,86.5,female,1
Cherbourg,1rd Class,18,108.9,male,0
Southampton,2rd Class,33,26,female,1
Southampton,1rd Class,29.69911765,26.55,male,1
Southampton,3rd Class,28,22.525,male,0
Southampton,3rd Class,26,56.4958,male,1
Queenstown,3rd Class,29,7.75,male,1
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,1rd Class,36,26.2875,male,1
Cherbourg,1rd Class,54,59.4,female,1
Southampton,3rd Class,24,7.4958,male,0
Southampton,1rd Class,47,34.0208,male,0
Southampton,2rd Class,34,10.5,female,1
Queenstown,3rd Class,29.69911765,24.15,male,0
Southampton,2rd Class,36,26,female,1
Southampton,3rd Class,32,7.8958,male,0
Southampton,1rd Class,30,93.5,female,1
Southampton,3rd Class,22,7.8958,male,0
Cherbourg,3rd Class,29.69911765,7.225,male,0
Cherbourg,1rd Class,44,57.9792,female,1
Cherbourg,3rd Class,29.69911765,7.2292,male,0
Queenstown,3rd Class,40.5,7.75,male,0
Southampton,2rd Class,50,10.5,female,1
Southampton,1rd Class,29.69911765,221.7792,male,0
Southampton,3rd Class,39,7.925,male,0
Southampton,2rd Class,23,11.5,male,0
Southampton,2rd Class,2,26,female,1
Cherbourg,3rd Class,29.69911765,7.2292,male,0
Cherbourg,3rd Class,17,7.2292,male,0
Cherbourg,3rd Class,29.69911765,22.3583,female,1
Southampton,3rd Class,30,8.6625,female,0
Southampton,2rd Class,7,26.25,female,1
Southampton,1rd Class,45,26.55,male,0
Cherbourg,1rd Class,30,106.425,female,1
Southampton,3rd Class,29.69911765,14.5,male,0
Cherbourg,1rd Class,22,49.5,female,1
Southampton,1rd Class,36,71,female,1
Southampton,3rd Class,9,31.275,female,0
Southampton,3rd Class,11,31.275,female,0
Southampton,2rd Class,32,26,male,1
Cherbourg,1rd Class,50,106.425,male,0
Southampton,1rd Class,64,26,male,0
Southampton,2rd Class,19,26,female,1
Cherbourg,2rd Class,29.69911765,13.8625,male,1
Southampton,3rd Class,33,20.525,male,0
Southampton,2rd Class,8,36.75,male,1
Cherbourg,1rd Class,17,110.8833,male,1
Southampton,2rd Class,27,26,male,0
Queenstown,3rd Class,29.69911765,7.8292,male,0
Cherbourg,3rd Class,22,7.225,male,1
Southampton,3rd Class,22,7.775,female,1
Southampton,1rd Class,62,26.55,male,0
Cherbourg,1rd Class,48,39.6,female,1
Cherbourg,1rd Class,29.69911765,227.525,male,0
Southampton,1rd Class,39,79.65,female,1
Southampton,3rd Class,36,17.4,female,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,40,7.8958,male,0
Southampton,2rd Class,28,13.5,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,3rd Class,29.69911765,8.05,female,0
Southampton,3rd Class,24,24.15,male,0
Southampton,3rd Class,19,7.8958,male,0
Southampton,3rd Class,29,21.075,female,0
Cherbourg,3rd Class,29.69911765,7.2292,male,0
Southampton,3rd Class,32,7.8542,male,1
Southampton,2rd Class,62,10.5,male,1
Southampton,1rd Class,53,51.4792,female,1
Southampton,1rd Class,36,26.3875,male,1
Queenstown,3rd Class,29.69911765,7.75,female,1
Southampton,3rd Class,16,8.05,male,0
Southampton,3rd Class,19,14.5,male,0
Southampton,2rd Class,34,13,female,1
Southampton,1rd Class,39,55.9,female,1
Cherbourg,3rd Class,29.69911765,14.4583,female,0
Southampton,3rd Class,32,7.925,male,1
Southampton,2rd Class,25,30,female,1
Cherbourg,1rd Class,39,110.8833,female,1
Southampton,2rd Class,54,26,male,0
Cherbourg,1rd Class,36,40.125,male,0
Cherbourg,3rd Class,29.69911765,8.7125,male,0
Southampton,1rd Class,18,79.65,female,1
Southampton,2rd Class,47,15,male,0
Cherbourg,1rd Class,60,79.2,male,1
Southampton,3rd Class,22,8.05,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,3rd Class,35,7.125,male,0
Cherbourg,1rd Class,52,78.2667,female,1
Southampton,3rd Class,47,7.25,male,0
Queenstown,3rd Class,29.69911765,7.75,female,0
Southampton,2rd Class,37,26,male,0
Southampton,3rd Class,36,24.15,male,0
Southampton,2rd Class,29.69911765,33,female,1
Southampton,3rd Class,49,0,male,0
Cherbourg,3rd Class,29.69911765,7.225,male,0
Cherbourg,1rd Class,49,56.9292,male,1
Southampton,2rd Class,24,27,female,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,1rd Class,29.69911765,42.4,male,0
Southampton,3rd Class,44,8.05,male,0
Cherbourg,1rd Class,35,26.55,male,1
Southampton,3rd Class,36,15.55,male,0
Southampton,3rd Class,30,7.8958,male,0
Southampton,1rd Class,27,30.5,male,1
Cherbourg,2rd Class,22,41.5792,female,1
Southampton,1rd Class,40,153.4625,female,1
Southampton,3rd Class,39,31.275,female,0
Southampton,3rd Class,29.69911765,7.05,male,0
Queenstown,3rd Class,29.69911765,15.5,female,1
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,35,8.05,male,0
Southampton,2rd Class,24,65,female,1
Southampton,3rd Class,34,14.4,male,0
Southampton,3rd Class,26,16.1,female,0
Southampton,2rd Class,4,39,female,1
Southampton,2rd Class,26,10.5,male,0
Cherbourg,3rd Class,27,14.4542,male,0
Southampton,1rd Class,42,52.5542,male,1
Cherbourg,3rd Class,20,15.7417,male,1
Southampton,3rd Class,21,7.8542,male,0
